serial,player_name,club,position,total_attempts,on_target,off_target,blocked,match_played
01,Benzema,Real Madrid,Forward,45,23,13,9,12
02,Salah,Liverpool,Forward,42,22,11,9,13
03,Mahrez,Man. City,Midfielder,37,18,8,11,12
04,Sané,Bayern,Midfielder,33,13,12,8,10
05,Lewandowski,Bayern,Forward,31,19,8,4,10
06,Luis Díaz,Porto,Forward,29,11,7,11,13
07,Martínez,Inter,Forward,28,7,10,11,8
08,Mbappé,Paris,Forward,27,16,6,5,8
08,Vinícius Júnior,Real Madrid,Forward,27,8,10,9,13
10,Havertz,Chelsea,Midfielder,26,11,9,6,9
10,Antony,Ajax,Forward,26,10,9,7,7
10,Messi,Paris,Forward,26,10,8,8,7
13,Danjuma,Villarreal,Midfielder,25,14,5,6,11
13,Džeko,Inter,Forward,25,12,6,7,7
13,Burak Yilmaz,LOSC,Forward,25,8,9,8,7
16,Haller,Ajax,Forward,24,15,8,1,8
16,De Bruyne,Man. City,Midfielder,24,7,9,8,10
18,Rodrygo,Real Madrid,Forward,23,10,7,6,11
19,Ronaldo,Man. United,Forward,22,12,8,2,7
19,Foden,Man. City,Midfielder,22,9,7,6,11
19,Zapata,Atalanta,Forward,22,8,7,7,6
22,André Silva,Leipzig,Forward,21,10,6,5,6
22,Mané,Liverpool,Midfielder,21,8,6,7,13
22,Gerard Moreno,Villarreal,Forward,21,6,9,6,7
25,Coman,Bayern,Forward,20,6,10,4,9
26,Gnabry,Bayern,Forward,18,8,6,4,8
26,Morata,Juventus,Forward,18,7,8,3,7
28,Nkunku,Leipzig,Midfielder,17,11,4,2,6
28,Sterling,Man. City,Forward,17,6,9,2,12
28,Taremi,Porto,Forward,17,3,10,4,6
31,Adeyemi,Salzburg,Forward,16,10,3,3,8
31,Paulinho,Sporting CP,Forward,16,8,7,1,8
31,Diogo Jota,Liverpool,Forward,16,7,4,5,11
31,Berghuis,Ajax,Forward,16,5,6,5,8
31,Goretzka,Bayern,Midfielder,16,3,7,6,6
