serial,player_name,club,position,balls_recoverd,tackles,t_won,t_lost,clearance_attempted,match_played
01,Casemiro,Real Madrid,Midfielder,76,31,13,18,19,11
01,Éder Militão,Real Madrid,Defender,76,19,6,13,32,12
01,Reinildo,Atlético,Defender,76,13,6,7,20,10
04,Fabinho,Liverpool,Midfielder,74,23,9,14,8,13
05,Albiol,Villarreal,Defender,73,9,6,3,62,12
06,Thiago Silva,Chelsea,Defender,65,9,4,5,17,9
07,Otamendi,Benfica,Defender,63,28,17,11,48,9
08,Capoue,Villarreal,Midfielder,62,11,1,10,29,12
08,Van Dijk,Liverpool,Defender,62,3,2,1,29,9
10,João Cancelo,Man. City,Defender,56,9,6,3,13,9
11,Foyth,Villarreal,Defender,55,20,10,10,30,10
11,Pavard,Bayern,Defender,55,12,7,5,17,10
13,Konaté,Liverpool,Defender,53,16,11,5,17,8
13,Martínez,Ajax,Defender,53,10,2,8,19,8
15,Rodri,Man. City,Midfielder,52,14,10,4,5,10
15,Estupiñán,Villarreal,Defender,52,8,4,4,31,10
17,Vertonghen,Benfica,Defender,51,9,6,3,51,10
17,Laporte,Man. City,Defender,51,5,1,4,17,9
17,Fernando,Sevilla,Midfielder,51,3,1,2,6,6
17,Alexander-Arnold,Liverpool,Defender,51,1,0,1,18,9
21,Carvajal,Real Madrid,Defender,50,12,6,6,30,11
22,André,LOSC,Midfielder,49,24,12,12,11,7
22,Alaba,Real Madrid,Defender,49,18,12,6,28,12
22,L. Hernández,Bayern,Defender,49,9,6,3,15,8
22,Pau Torres,Villarreal,Defender,49,7,3,4,62,12
22,De Ligt,Juventus,Defender,49,5,4,1,24,7
27,Gilberto,Benfica,Defender,48,17,8,9,17,9
27,Parejo,Villarreal,Midfielder,48,17,8,9,5,12
27,Koundé,Sevilla,Defender,48,0,0,0,15,5
30,Fonte,LOSC,Defender,47,13,9,4,29,8
31,Rüdiger,Chelsea,Defender,46,9,5,4,16,9
31,Bastoni,Inter,Defender,46,7,2,5,18,8
31,Upamecano,Bayern,Defender,46,4,1,3,16,8
34,Rúben Dias,Man. City,Defender,45,11,1,10,16,8
35,Seiwald,Salzburg,Midfielder,44,18,6,12,9,8
35,Robertson,Liverpool,Defender,44,4,3,1,14,10
37,Lauper,Young Boys,Midfielder,43,12,7,5,13,6
38,Hendry,Club Brugge,Defender,42,6,4,2,18,6
38,Meunier,Dortmund,Defender,42,3,0,3,9,6
38,Marquinhos,Paris,Defender,42,2,2,0,36,8
41,Kimmich,Bayern,Midfielder,41,15,6,9,3,8
41,Camara,Salzburg,Midfielder,41,14,7,7,4,8
41,Barrios,Zenit,Midfielder,41,11,7,4,13,6
41,Christensen,Chelsea,Defender,41,10,6,4,14,8
41,Nsoki,Club Brugge,Defender,41,7,2,5,27,6
41,Palomino,Atalanta,Defender,41,6,3,3,14,5
41,Ulmer,Salzburg,Defender,41,6,2,4,20,8
41,Diego Carlos,Sevilla,Defender,41,3,1,2,20,6
49,Souza,Beşiktaş,Midfielder,40,20,12,8,9,5
49,Thiago Alcántara,Liverpool,Midfielder,40,16,11,5,5,10
49,Mazraoui,Ajax,Defender,40,16,10,6,9,8
49,Kondogbia,Atlético,Midfielder,40,15,6,9,7,9
49,Süle,Bayern,Defender,40,3,1,2,12,7
54,Fernando Costanza,Sheriff,Defender,39,19,13,6,39,6
54,Wöber,Salzburg,Defender,39,14,6,8,36,7
54,Gvardiol,Leipzig,Defender,39,9,5,4,12,6
54,Modrić,Real Madrid,Midfielder,39,9,3,6,4,13
54,Tiago Djaló,LOSC,Defender,39,8,6,2,24,7
54,Guilavogui,Wolfsburg,Midfielder,39,6,1,5,26,5
54,Akanji,Dortmund,Defender,39,5,2,3,12,5
61,Brozović,Inter,Midfielder,38,15,6,9,6,8
61,Škriniar,Inter,Defender,38,11,6,5,26,8
61,Jorginho,Chelsea,Midfielder,38,7,5,2,2,8
64,Kroos,Real Madrid,Midfielder,37,11,5,6,4,12
64,Dodô,Shakhtar Donetsk,Defender,37,10,6,4,8,6
64,Balanta,Club Brugge,Midfielder,37,10,3,7,9,5
64,Botman,LOSC,Defender,37,7,5,2,20,5
64,Marcos Llorente,Atlético,Midfielder,37,6,0,6,8,9
64,Sydorchuk,Dynamo Kyiv,Midfielder,37,5,3,2,8,6
70,João Palhinha,Sporting CP,Midfielder,36,29,11,18,6,6
70,Kristensen,Salzburg,Defender,36,18,8,10,27,8
70,Hakimi,Paris,Defender,36,7,1,6,11,8
70,Mendy,Real Madrid,Defender,36,6,5,1,15,10
70,Bonucci,Juventus,Defender,36,6,2,4,17,7
70,Solet,Salzburg,Defender,36,1,0,1,18,5
76,Weigl,Benfica,Midfielder,35,23,12,11,12,9
76,Goretzka,Bayern,Midfielder,35,8,5,3,6,6
76,J. Timber,Ajax,Midfielder,35,6,2,4,12,8
76,Witsel,Dortmund,Midfielder,35,5,2,3,5,6
76,Giménez,Atlético,Defender,35,4,2,2,23,7
76,Lacroix,Wolfsburg,Defender,35,1,1,0,30,6
82,Grimaldo,Benfica,Defender,34,15,6,9,24,10
82,Savić,Atlético,Defender,34,6,5,1,17,5
82,Tolói,Atalanta,Defender,34,6,5,1,6,4
82,Matip,Liverpool,Defender,34,5,1,4,15,7
82,De Roon,Atalanta,Midfielder,34,4,0,4,15,6
82,Felipe,Atlético,Defender,34,3,1,2,31,7
82,Walker,Man. City,Defender,34,3,1,2,11,7
82,Varane,Man. United,Defender,34,0,0,0,18,5
