serial,player_name,club,position,fouls_committed,fouls_suffered,red,yellow,minutes_played,match_played
01,João Palhinha,Sporting CP,Midfielder,23,17,2,0,534,6
02,Capoue,Villarreal,Midfielder,19,17,3,1,1046,12
02,Rodri,Man. City,Midfielder,19,4,2,0,842,10
02,Seiwald,Salzburg,Midfielder,19,3,2,0,649,8
05,Balanta,Club Brugge,Midfielder,18,3,4,0,407,5
06,Casemiro,Real Madrid,Midfielder,17,18,3,0,914,11
06,Éder Militão,Real Madrid,Defender,17,16,4,0,1076,12
06,Otamendi,Benfica,Defender,17,11,2,0,810,9
06,Gravenberch,Ajax,Midfielder,17,11,1,0,703,8
06,Haller,Ajax,Forward,17,11,1,0,668,8
06,Álvarez,Ajax,Midfielder,17,6,4,0,558,7
12,Mané,Liverpool,Midfielder,16,19,2,0,822,13
12,Gilberto,Benfica,Defender,16,13,1,0,715,9
12,Luis Díaz,Porto,Forward,16,10,1,0,908,13
12,Gavi,Barcelona,Midfielder,16,7,2,0,398,6
16,Reinildo,Atlético,Defender,15,15,2,0,816,10
16,Capaldo,Salzburg,Midfielder,15,8,3,0,281,7
16,Keïta,Liverpool,Midfielder,15,7,0,0,487,10
16,Carvajal,Real Madrid,Defender,15,6,3,0,959,11
20,Camara,Salzburg,Midfielder,14,23,2,0,672,8
20,Fabinho,Liverpool,Midfielder,14,11,1,0,849,13
20,Sterling,Man. City,Forward,14,10,1,0,581,12
20,Renan Lodi,Atlético,Defender,14,6,0,0,478,10
20,Addo,Sheriff,Midfielder,14,4,3,0,491,6
20,Kristensen,Salzburg,Defender,14,4,1,0,720,8
26,Vinícius Júnior,Real Madrid,Forward,13,24,1,0,1199,13
26,João Mário,Benfica,Midfielder,13,13,2,0,493,8
26,Marcos Llorente,Atlético,Midfielder,13,10,3,0,700,9
26,Ziyech,Chelsea,Midfielder,13,8,2,0,446,9
26,Ulmer,Salzburg,Defender,13,2,2,0,716,8
31,De Paul,Atlético,Midfielder,12,13,2,0,577,9
31,Havertz,Chelsea,Midfielder,12,9,1,0,672,9
31,Otávio,Porto,Midfielder,12,8,1,0,450,6
31,Dumfries,Inter,Defender,12,7,1,0,467,7
31,Rakip,Malmö,Midfielder,12,6,1,0,273,6
31,Acuña,Sevilla,Defender,12,6,0,0,379,5
31,Milner,Liverpool,Midfielder,12,4,3,0,211,8
31,Vrsaljko,Atlético,Defender,12,2,1,0,304,5
31,Kanté,Chelsea,Midfielder,12,2,0,0,427,6
40,Garmash,Dynamo Kyiv,Midfielder,11,15,2,0,325,6
40,Lewandowski,Bayern,Forward,11,13,1,0,876,10
40,Tadić,Ajax,Forward,11,9,0,0,630,7
40,Bastoni,Inter,Defender,11,8,2,0,666,8
40,Alonso,Chelsea,Defender,11,7,1,0,548,8
40,Čolak,Malmö,Forward,11,7,1,0,500,6
40,Innocent,Malmö,Midfielder,11,7,1,0,496,6
40,Diogo Jota,Liverpool,Forward,11,6,2,0,578,11
40,L. Hernández,Bayern,Defender,11,6,2,0,572,8
40,Laimer,Leipzig,Midfielder,11,5,0,0,405,6
40,João Cancelo,Man. City,Defender,11,4,3,0,840,9
40,Rüdiger,Chelsea,Defender,11,3,2,0,840,9
40,Konaté,Liverpool,Defender,11,3,1,0,720,8
40,Müller,Bayern,Forward,11,3,0,0,778,10
40,Guilavogui,Wolfsburg,Midfielder,11,2,4,1,429,5
55,Moumi Ngamaleu,Young Boys,Midfielder,10,13,2,0,532,6
55,Arnold,Wolfsburg,Midfielder,10,9,3,0,540,6
55,Correa,Atlético,Forward,10,8,2,0,401,10
55,Nkunku,Leipzig,Midfielder,10,8,0,0,531,6
55,Gueye,Paris,Midfielder,10,7,1,0,400,7
55,J. Timber,Ajax,Midfielder,10,6,3,0,570,8
55,Weghorst,Wolfsburg,Forward,10,6,2,0,398,5
55,Vidal,Inter,Midfielder,10,6,1,0,409,7
55,Bernardo Silva,Man. City,Midfielder,10,6,0,0,878,11
55,Mount,Chelsea,Midfielder,10,6,0,0,538,7
55,Upamecano,Bayern,Defender,10,5,3,0,660,8
55,Weigl,Benfica,Midfielder,10,5,2,0,810,9
55,Jordán,Sevilla,Midfielder,10,4,2,1,327,6
55,Henderson,Liverpool,Midfielder,10,4,0,0,666,12
55,Adamu,Salzburg,Forward,10,2,0,0,231,8
55,De Roon,Atalanta,Midfielder,10,1,2,0,484,6
