serial,player_name,club,position,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken,match_played
01,Erokhin,Zenit,Midfielder,98,27,26,0,2,0,0,6
02,Eric García,Barcelona,Defender,97.5,203,197,0,0,0,1,4
03,Ulreich,Bayern,Goalkeeper,97,32,31,0,0,0,1,1
04,Rugani,Juventus,Defender,96.8,130,122,0,0,0,0,4
05,J. Timber,Ajax,Midfielder,95.8,497,474,0,1,0,14,8
06,Egan-Riley,Man. City,Defender,95,61,58,0,1,0,0,1
06,Mario Gaspar,Villarreal,Defender,95,32,29,0,1,0,1,2
08,Marlon,Shakhtar Donetsk,Defender,94.8,424,402,0,0,0,8,5
09,Süle,Bayern,Defender,94.7,429,413,0,2,0,9,7
09,Laporte,Man. City,Defender,94.7,707,672,0,0,0,10,9
11,Maycon,Shakhtar Donetsk,Midfielder,94.5,395,373,58,12,7,9,6
11,Nianzou,Bayern,Midfielder,94.5,199,192,0,0,0,5,4
13,Marcos Antônio,Shakhtar Donetsk,Midfielder,94.4,234,224,0,0,0,5,5
13,Stones,Man. City,Defender,94.4,545,523,0,1,0,8,8
15,Stepanenko,Shakhtar Donetsk,Midfielder,94.3,146,137,0,1,0,4,4
16,Rodri,Man. City,Midfielder,94.2,806,760,0,1,0,13,10
16,Matip,Liverpool,Defender,94.2,498,467,0,0,0,14,7
18,Martínez,Ajax,Defender,94.1,674,633,0,0,0,12,8
19,Arthur,Juventus,Midfielder,94,293,278,50,2,1,7,6
19,Bondar,Shakhtar Donetsk,Defender,94,105,99,0,0,0,3,1
19,Fábio Cardoso,Porto,Defender,94,39,36,0,0,0,2,2
19,Shabanov,Dynamo Kyiv,Defender,94,35,33,0,0,0,0,1
23,Paredes,Paris,Midfielder,93.8,315,298,0,0,0,10,5
24,Lindelöf,Man. United,Defender,93.6,280,263,50,2,1,8,5
24,Daniel Bragança,Sporting CP,Midfielder,93.6,66,61,0,0,0,2,5
24,Matheus Cunha,Atlético,Forward,93.6,19,17,0,0,0,0,5
27,Wijnaldum,Paris,Midfielder,93.4,97,89,0,0,0,3,5
27,Christensen,Chelsea,Defender,93.4,552,517,50,2,1,7,8
29,Kimpembe,Paris,Defender,93.3,376,352,0,0,0,15,7
29,Álvarez,Ajax,Midfielder,93.3,363,340,0,1,0,7,7
31,Witsel,Dortmund,Midfielder,93.2,311,294,0,0,0,6,6
32,Upamecano,Bayern,Defender,93.1,562,519,0,2,0,11,8
32,Thiago Silva,Chelsea,Defender,93.1,607,571,100,2,2,17,9
34,Verratti,Paris,Midfielder,93,436,403,0,2,0,14,5
34,Minamino,Liverpool,Forward,93,76,69,0,1,0,1,4
34,Vitão,Shakhtar Donetsk,Defender,93,73,68,0,0,0,3,1
37,Gavi,Barcelona,Midfielder,92.8,164,153,0,3,0,1,6
37,Piqué,Barcelona,Defender,92.8,288,269,0,0,0,2,5
37,Matviyenko,Shakhtar Donetsk,Defender,92.8,350,328,0,2,0,1,4
40,De Vrij,Inter,Defender,92.7,322,301,0,0,0,4,6
41,Rúben Dias,Man. City,Defender,92.6,464,431,0,0,0,8,8
42,Marquinhos,Paris,Defender,92.5,509,475,0,0,0,16,8
43,Wendel,Zenit,Midfielder,92.3,295,274,0,4,0,4,6
43,Alaba,Real Madrid,Defender,92.3,657,606,11,17,2,21,12
43,Rekik,Sevilla,Defender,92.3,93,86,0,2,0,5,4
46,Chistiakov,Zenit,Defender,92.2,209,196,0,0,0,4,5
46,Demiral,Atalanta,Defender,92.2,176,162,0,0,0,9,6
48,L. Hernández,Bayern,Defender,92,543,496,37,8,3,12,8
48,Orbán,Leipzig,Defender,92,194,176,0,0,0,6,4
48,Kryvtsov,Shakhtar Donetsk,Defender,92,167,153,0,0,0,4,3
48,Simakan,Leipzig,Defender,92,158,142,100,1,1,7,4
48,Steffen,Man. City,Goalkeeper,92,25,23,0,0,0,3,1
53,Kroos,Real Madrid,Midfielder,91.9,814,752,20,34,7,44,12
